Activity,Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,LinearAccX,LinearAccY,LinearAccZ,Subject
WALKING,1.63E+12,0.496511,-5.283352,-1.69352,-0.496313,-1.212074,0.783259,-3.579987,-6.605783,3.801721,1
WALKING,1.63E+12,-2.812763,-13.204193,2.562713,-0.184476,0.010232,-0.029473,-3.780174,-1.565175,0.732263,1
WALKING,1.63E+12,0.37328,-9.798011,-0.641276,-1.30706,0.743859,-0.768904,-11.893673,-5.30548,8.237864,1
WALKING,1.63E+12,-1.829911,-9.376275,-0.322433,-0.558467,1.064707,-0.638641,1.817404,-1.165448,-5.926619,1
WALKING,1.63E+12,-3.409772,-14.022539,1.132403,2.039466,-0.068109,1.003622,6.240396,1.992729,-1.902935,1
WALKING,1.63E+12,-0.54018,-7.501499,-1.753939,0.335966,-1.033859,0.98774,-2.056731,-5.008675,3.474746,1
WALKING,1.63E+12,-1.844268,-9.640084,3.955934,-0.707056,-0.114381,-0.174855,-5.609931,-4.572048,4.6674,1
WALKING,1.63E+12,1.721038,-11.512468,-3.149553,-0.799599,0.608251,-0.550373,-0.478305,1.371661,-14.908101,1
WALKING,1.63E+12,-2.795415,-8.558528,-0.147757,-0.944675,1.410599,-0.630089,0.361808,-0.610446,1.785734,1
WALKING,1.63E+12,-5.374878,-11.71825,2.088336,1.426328,-0.038942,0.473407,3.347949,1.698432,-3.718631,1
WALKING,1.63E+12,-0.653241,-12.270394,-2.143371,0.856561,-0.724159,1.199857,-5.686543,10.972134,7.620431,1
WALKING,1.63E+12,-0.378066,-7.920243,2.496312,-0.426371,-0.445308,0.309241,-6.26317,-6.207603,4.983898,1
WALKING,1.63E+12,0.264407,-11.134402,-0.354736,-0.264039,0.006261,-0.595118,5.696026,25.13343,-17.346558,1
WALKING,1.63E+12,-2.150549,-9.74477,-2.231307,-1.567129,1.505586,-0.690716,-2.84411,4.182805,8.336306,1
WALKING,1.63E+12,-3.965505,-11.203196,1.231107,0.437672,0.267551,-0.158362,3.476165,0.617469,-3.161287,1
WALKING,1.63E+12,-2.160121,-13.005589,-0.859023,1.810857,-0.706903,1.338366,-3.184061,9.172762,2.763957,1
WALKING,1.63E+12,2.380858,-5.02074,-2.386841,-0.721411,-0.91001,0.193486,-6.593599,-5.083584,4.963046,1
WALKING,1.63E+12,-4.532006,-14.600406,5.011767,0.051769,0.0704,0.022143,-0.061896,3.375742,8.725429,1
WALKING,1.63E+12,0.680758,-8.402995,-2.67697,-1.51032,1.100289,-0.683843,-6.563204,-1.792702,6.394416,1
WALKING,1.63E+12,-1.58345,-10.511071,0.385244,-0.266482,0.581527,-0.572975,2.78516,1.297316,-2.338745,1
WALKING,1.63E+12,-3.311666,-13.651053,-1.045663,1.948297,-0.330468,1.123959,1.663723,3.490051,-4.246559,1
WALKING,1.63E+12,-0.280558,-6.221339,-0.9003,-0.068262,-1.119683,0.919936,-4.448483,-5.713455,3.778359,1
WALKING,1.63E+12,-2.048854,-10.136595,4.025326,-0.631463,0.051769,-0.167372,-2.602889,0.458867,-3.552276,1
WALKING,1.63E+12,0.083749,-12.254243,-3.554538,-0.97476,0.711332,-0.621995,-8.440203,-6.035581,8.502743,1
WALKING,1.63E+12,-2.120041,-8.753544,0.694517,-0.74279,1.099678,-0.610847,2.298906,-1.66569,-2.200372,1
WALKING,1.63E+12,-5.063213,-12.421143,1.953141,1.771152,-0.260679,0.838082,0.666363,3.834375,-6.756913,1
WALKING,1.63E+12,-0.404985,-10.289138,-2.551945,0.776081,-0.811816,1.070815,-1.138661,0.855241,3.864973,1
WALKING,1.63E+12,-2.081157,-9.646665,3.619742,-0.463328,-0.808609,0.060321,-7.637123,-4.193306,5.790859,1
WALKING,1.63E+12,1.64686,-9.811769,-1.89033,-0.597561,0.216087,-0.631158,-0.027206,17.202621,-12.857654,1
WALKING,1.63E+12,-2.413162,-9.900902,-0.949352,-1.519635,1.675096,-0.535408,1.866241,4.896546,7.439282,1
WALKING,1.63E+12,-4.133601,-11.533405,1.084547,0.842358,0.221432,0.029473,4.437231,1.244696,-0.616553,1
WALKING,1.63E+12,-2.471188,-12.376875,-1.409373,1.526965,-0.799141,1.351041,-3.948855,9.036887,11.171422,1
WALKING,1.63E+12,2.525624,-5.323432,-2.043471,-0.721411,-1.012632,0.228151,-7.207911,-5.456417,4.945,1
WALKING,1.63E+12,-3.222534,-13.954344,3.433102,-0.112854,0.36941,-0.11545,21.429586,18.512623,-15.840849,1
WALKING,1.63E+12,-0.965504,-8.896515,-1.85683,-1.553843,1.056613,-0.674375,-2.471646,4.209214,4.897979,1
WALKING,1.63E+12,-2.2002,-10.661222,0.261416,-0.086435,0.589773,-0.4505,2.24717,2.100862,-1.988136,1
WALKING,1.63E+12,-2.883351,-13.624134,-0.410967,2.163774,-0.505018,1.12457,0.702135,6.491299,-0.140894,1
WALKING,1.63E+12,0.244068,-5.877969,-1.510469,-0.283128,-0.840068,0.718662,3.173851,-1.78618,3.290793,1
WALKING,1.63E+12,-2.889931,-10.847263,1.981257,-0.521816,0.311685,-0.156682,3.831173,7.086999,-20.355583,1
WALKING,1.63E+12,0.060419,-11.396416,-0.478565,-1.06715,0.612222,-0.642611,-5.176068,-4.742939,6.96059,1
WALKING,1.63E+12,-2.299503,-9.585648,0.053839,-0.534033,0.828462,-0.679568,3.508762,0.919801,-5.59206,1
WALKING,1.63E+12,-3.720241,-13.375878,0.853041,2.054127,-0.053144,0.984075,5.367045,3.079532,-3.226745,1
WALKING,1.63E+12,-0.543769,-7.690532,-1.542174,0.192417,-1.293774,0.963764,2.610445,-2.131931,0.590954,1
WALKING,1.63E+12,-2.064408,-9.98824,3.592823,-0.71011,-0.294734,-0.032375,-0.291164,0.058694,-2.792253,1
WALKING,1.63E+12,0.858425,-11.464611,-3.947559,-1.122126,0.529452,-0.615123,-4.719865,-4.787722,7.148824,1
WALKING,1.63E+12,-2.085345,-9.077771,0.978664,-0.65437,1.036302,-0.720647,2.737171,-2.75019,-9.607961,1
WALKING,1.63E+12,-5.162515,-11.991033,2.139184,1.772679,-0.44485,0.799446,6.125618,3.003625,-6.174982,1
WALKING,1.63E+12,-0.363111,-10.759925,-1.884946,0.727519,-0.462106,1.1516,3.816992,-2.349099,-1.534509,1
WALKING,1.63E+12,-1.813161,-9.933804,3.108277,-0.829531,-0.591453,0.050395,-4.861687,-3.706399,3.491358,1
WALKING,1.63E+12,2.675176,-9.404989,-2.159523,-0.586108,0.189821,-0.779136,-7.523129,-6.937269,7.38713,1
WALKING,1.63E+12,-2.735595,-9.661021,-0.980459,-1.332105,1.484053,-0.53327,5.859953,-1.991423,-4.866171,1
WALKING,1.63E+12,-4.590032,-11.714064,1.456631,0.806624,0.209979,0.109953,3.215553,2.69348,-3.930721,1
WALKING,1.63E+12,-0.926621,-12.623934,-1.054038,1.553537,-0.447904,1.300036,-1.109737,1.730939,4.846219,1
WALKING,1.63E+12,1.238286,-5.42094,-1.95374,-0.760352,-1.343711,0.294123,0.476799,-3.980064,2.721995,1
WALKING,1.63E+12,-2.63031,-13.151551,3.952943,-0.021838,0.233496,-0.288625,4.211812,2.52758,-1.192555,1
WALKING,1.63E+12,-0.721436,-9.308679,-2.740978,-1.684106,1.341421,-0.486387,1.895794,1.325715,3.302765,1
WALKING,1.63E+12,-2.385644,-10.802398,0.281157,-0.044439,0.614971,-0.499978,4.550347,0.922747,-2.645949,1
WALKING,1.63E+12,-2.926422,-13.206587,-0.609572,1.916228,-0.280684,1.133274,8.907707,2.992987,-8.798443,1
WALKING,1.63E+12,-0.055633,-6.208776,-0.865005,-0.08674,-1.203675,0.875497,0.456431,-1.983322,3.624868,1
WALKING,1.63E+12,-2.446661,-11.869596,3.715455,-0.35704,0.125987,-0.04902,14.254982,14.196815,-23.42988,1
WALKING,1.63E+12,-0.078365,-10.500902,-1.804188,-1.10319,0.672848,-0.834723,-1.860945,5.081486,6.455384,1
WALKING,1.63E+12,-1.635494,-9.080762,-0.306281,-0.655439,0.95506,-0.662464,0.540041,-0.765323,2.407515,1
WALKING,1.63E+12,-5.012365,-12.304492,1.876571,1.839872,-0.286793,0.873512,6.711773,3.071876,-1.729095,1
WALKING,1.63E+12,0.108275,-9.854242,-2.377269,0.467298,-0.97537,1.025307,5.267338,-2.104129,-0.769074,1
WALKING,1.63E+12,-2.203192,-10.068399,3.159124,-0.613138,-0.270147,-0.022296,-2.541768,1.650235,-4.62352,1
WALKING,1.63E+12,2.127818,-9.921839,-2.209772,-0.796545,-0.026266,-0.640626,-7.672761,-4.156701,3.507018,1
WALKING,1.63E+12,-2.222932,-9.408579,-0.58684,-1.079214,1.251626,-0.488372,5.007056,-3.370271,-10.255122,1
WALKING,1.63E+12,-4.385446,-11.423934,1.351945,0.844038,0.230137,0.192722,3.216945,2.652252,-3.979012,1
WALKING,1.63E+12,-1.694118,-12.343974,-1.194018,1.379751,-0.340853,1.262163,-1.937504,-0.28629,6.233884,1
WALKING,1.63E+12,2.156531,-5.708078,-1.929213,-0.821437,-1.077076,0.060321,-5.528217,-4.571686,4.533228,1
WALKING,1.63E+12,-3.63709,-13.111472,4.100101,0.041538,0.160653,-0.071927,3.173275,0.56911,0.32956,1
WALKING,1.63E+12,-0.236889,-9.597013,-2.598007,-1.454122,0.751037,-0.570226,3.855109,2.870484,3.964516,1
WALKING,1.63E+12,-1.804188,-10.261022,0.287139,-0.325582,0.625202,-0.57893,3.232202,1.134232,-2.272732,1
WALKING,1.63E+12,-2.532205,-13.37887,-0.40678,1.977771,0.026877,1.152974,7.875834,2.588037,-4.672635,1
WALKING,1.63E+12,-0.817747,-6.829116,-0.550947,0.09346,-1.02378,0.877788,3.291288,-0.235657,-1.207401,1
WALKING,1.63E+12,-2.030908,-10.466805,4.28076,-0.634212,-0.146145,-0.186308,1.749191,5.657763,-14.334176,1
WALKING,1.63E+12,-0.157328,-11.040483,-3.261417,-0.98774,0.550831,-0.62566,-4.360469,0.664581,5.882976,1
WALKING,1.63E+12,-1.724627,-8.980862,-0.066999,-0.778219,0.947271,-0.69209,0.781455,-1.391508,-5.293488,1
WALKING,1.63E+12,-4.887938,-11.737393,2.217548,1.818187,-0.222654,0.809373,4.012311,2.941633,-5.952433,1
WALKING,1.63E+12,-0.294317,-11.135,-1.957927,0.689647,-0.669794,1.173743,3.556739,-2.383866,-0.406506,1
WALKING,1.63E+12,-2.102095,-9.728619,3.04367,-0.756687,-0.239452,-0.001527,-4.199405,-3.01616,2.417522,1
WALKING,1.63E+12,2.120639,-9.747163,-2.150549,-0.638488,0.010384,-0.728435,-9.014914,-6.263579,-2.765691,1
WALKING,1.63E+12,-2.389233,-9.463614,-0.82014,-1.198482,1.603474,-0.564881,4.821383,-2.873627,-5.928913,1
WALKING,1.63E+12,-4.619344,-11.428121,1.668396,0.905734,0.261137,0.170885,3.77072,3.199937,-5.608926,1
WALKING,1.63E+12,-1.738984,-12.814163,-1.164706,1.630657,-0.616192,1.373643,-4.680923,3.461222,6.874215,1
WALKING,1.63E+12,2.551945,-5.092525,-2.347957,-0.871374,-0.793338,0.063986,-2.99575,-2.758748,4.750196,1
WALKING,1.63E+12,-3.984648,-14.217554,4.418347,-0.162944,0.469742,-0.208452,3.555542,3.059169,-0.168545,1
WALKING,1.63E+12,-0.182453,-8.837293,-2.222334,-1.270104,1.075091,-0.572211,1.802341,4.024145,6.98612,1
WALKING,1.63E+12,-1.588236,-10.237094,0.203988,-0.299926,0.488678,-0.641237,3.964863,1.166839,-2.75953,1
WALKING,1.63E+12,-3.160919,-13.575679,-0.513859,1.967844,-0.28832,1.093417,8.275801,2.370093,-2.054544,1
WALKING,1.63E+12,-0.257228,-6.949954,-1.21017,0.113007,-1.075702,1.060278,3.025555,-0.108647,-0.216539,1
WALKING,1.63E+12,-2.033899,-10.077971,3.881757,-0.622912,-0.31932,-0.238536,0.670913,4.775304,-14.594358,1
WALKING,1.63E+12,0.148355,-11.79183,-3.19382,-1.002706,0.615276,-0.556482,-6.157906,-1.398782,6.309039,1
WALKING,1.63E+12,-1.673181,-8.645268,0.074178,-0.893517,0.936887,-0.62734,3.195697,-0.563249,-1.975361,1
WALKING,1.63E+12,-5.188238,-11.673386,1.538585,1.516886,-0.255181,0.681095,4.342692,2.766267,-5.619701,1
WALKING,1.63E+12,-0.428913,-12.138191,-1.526023,1.082574,-0.671321,1.183211,1.920852,-0.518405,1.572049,1
WALKING,1.63E+12,-0.080758,-8.055437,2.458625,-0.541363,-0.623522,-0.004276,-5.096167,-4.368745,4.164509,1
WALKING,1.63E+12,0.044267,-10.217353,-0.354736,-0.5406,0.415376,-0.687203,-2.145974,-3.037537,3.562089,1
WALKING,1.63E+12,-1.468595,-9.633504,-1.974677,-1.30141,1.213295,-0.437061,6.017571,2.296227,0.337488,1
WALKING,1.63E+12,-3.028715,-10.813764,0.394218,0.016646,0.559078,-0.353375,2.548336,1.433873,-2.95219,1
WALKING,1.63E+12,-3.467798,-13.132409,-0.857827,1.906149,-0.701711,1.238035,1.627923,6.16234,1.676628,1
WALKING,1.63E+12,1.107279,-6.323034,-1.102493,-0.176993,-0.953991,0.652843,-0.185699,-0.168796,0.716725,1
WALKING,1.63E+12,-3.394817,-12.269796,3.29731,-0.287251,-0.100179,-0.131332,3.039565,4.169998,-15.667016,1
WALKING,1.63E+12,-0.22672,-9.436096,-0.844666,-1.264301,0.337799,-0.663686,-7.342168,-0.089882,6.539692,1
WALKING,1.63E+12,-1.058824,-9.562318,-0.731606,-0.73378,0.802806,-0.725687,3.069773,-0.034627,-2.607535,1
WALKING,1.63E+12,-4.671388,-13.234104,1.647458,1.92875,-0.297941,1.007745,4.659716,2.678116,-5.056005,1
WALKING,1.63E+12,0.012562,-9.103494,-2.300101,0.52258,-0.901763,1.138467,2.862425,-1.96137,1.19855,1
WALKING,1.63E+12,-2.656631,-10.119845,3.144767,-0.710415,-0.218989,-0.213186,-4.660307,-4.328486,2.674633,1
WALKING,1.63E+12,1.885544,-10.253843,-2.245066,-0.899778,0.32772,-0.799752,-6.508823,-6.123798,3.898627,1
WALKING,1.63E+12,-2.137987,-8.673982,0.077169,-1.02378,0.671779,-0.587482,4.471655,-2.719839,-6.25071,1
WALKING,1.63E+12,-4.388437,-11.734403,1.417747,1.128998,-0.092543,0.262664,3.839895,2.039737,-0.675514,1
WALKING,1.63E+12,-1.567897,-12.148959,-1.683949,1.169925,-0.69942,1.412737,-4.391897,6.765752,12.045435,1
WALKING,1.63E+12,1.792822,-6.215955,-0.107079,-0.603364,-1.140452,0.25961,-7.879753,-5.517252,5.175278,1
WALKING,1.63E+12,-2.730211,-12.263814,1.482952,-0.285418,0.374755,-0.482264,14.333117,8.735246,1.129393,1
WALKING,1.63E+12,-0.798605,-9.71845,-2.140978,-1.543,0.654065,-0.606571,1.911611,4.828716,4.09972,1
WALKING,1.63E+12,-2.776273,-10.871191,0.405583,0.027946,0.54961,-0.435076,2.050884,1.05416,-1.23354,1
WALKING,1.63E+12,-3.025126,-13.316656,-0.526421,1.965859,-0.716677,1.3121,-0.520679,7.888317,-1.051947,1
WALKING,1.63E+12,0.247657,-6.559923,-1.284348,-0.16615,-1.569878,0.77318,-6.420257,-5.220227,5.426292,1
WALKING,1.63E+12,-1.326222,-11.529218,5.450252,-0.332759,-0.615734,0.052227,1.837453,3.906057,-17.849962,1
WALKING,1.63E+12,-1.852045,-10.08156,-2.424528,-1.375628,0.046577,-0.543196,-5.431617,-1.731952,3.265327,1
WALKING,1.63E+12,-1.01695,-8.829515,-0.964906,-1.068372,0.966819,-0.551901,2.073931,-1.256052,-0.123963,1
WALKING,1.63E+12,-4.302893,-11.842677,1.4668,1.280183,0.046883,0.420568,2.340221,3.950972,-6.419034,1
WALKING,1.63E+12,-0.534796,-11.388041,-1.552942,0.9911,-0.35704,1.151447,-3.080956,5.154095,7.645613,1
WALKING,1.63E+12,0.329611,-6.911668,0.742373,-0.338104,-0.673154,0.170426,-5.917861,-3.900278,3.613083,1
WALKING,1.63E+12,-2.154139,-12.149557,1.015753,-0.373686,0.70675,-0.473712,-2.219009,3.924984,10.861744,1
WALKING,1.63E+12,-1.188635,-9.119047,-2.207379,-1.300036,0.899473,-0.683385,-3.296159,0.092879,4.621131,1
WALKING,1.63E+12,-2.779862,-10.999805,0.401396,0.130721,0.503491,-0.345587,4.04155,1.79628,-3.725348,1
WALKING,1.63E+12,-3.157928,-12.562319,-0.314058,1.816965,-0.537546,1.305533,5.171312,2.027347,-2.377234,1
WALKING,1.63E+12,-0.02333,-6.490531,-1.192822,-0.317182,-1.217877,0.916271,-3.813463,-5.509192,3.620814,1
WALKING,1.63E+12,-1.38365,-11.614761,3.637689,-0.407741,0.116977,-0.279004,-11.322925,-6.952078,3.034801,1
WALKING,1.63E+12,-1.01695,-10.200005,-1.684547,-1.041036,0.445766,-0.699267,-6.567234,-2.735807,4.912332,1
WALKING,1.63E+12,-1.987239,-9.33141,-0.464208,-0.699726,1.05081,-0.680331,1.331522,-0.77294,-3.68341,1
WALKING,1.63E+12,-5.35095,-12.692728,1.935195,1.92646,-0.521664,0.750273,9.572388,2.852923,-9.00108,1
WALKING,1.63E+12,-0.834497,-9.752547,-2.74038,0.548083,-0.910773,1.284154,-2.923246,-1.555089,4.516657,1
WALKING,1.63E+12,-1.980659,-10.439287,3.171088,-0.523343,-0.549763,0.097277,-7.389294,-3.946544,4.507578,1
WALKING,1.63E+12,1.70369,-8.972486,-1.374677,-0.828309,0.698962,-0.842664,7.396875,6.145889,8.726441,1
WALKING,1.63E+12,-2.156531,-9.460623,-0.850648,-1.330425,0.535255,-0.638183,1.558374,-1.087559,-0.281761,1
